gmv_rank,category,orders,gmv,avg_order_value,gmv_share_pct,cumulative_share_pct
1,"health_beauty",8800,1255695.13,142.69,9.30,9.30
2,"watches_gifts",5604,1198185.21,213.81,8.88,18.18
3,"bed_bath_table",9399,1035964.06,110.22,7.68,25.86
4,"sports_leisure",7673,979740.92,127.69,7.26,33.12
5,"computers_accessories",6654,904322.02,135.91,6.70,39.82
6,"furniture_decor",6425,727465.05,113.22,5.39,45.21
7,"housewares",5847,626825.80,107.20,4.64,49.85
8,"cool_stuff",3617,620835.39,171.64,4.60,54.45
9,"auto",3873,586620.73,151.46,4.35,58.80
10,"garden_tools",3505,481009.94,137.24,3.56,62.36
