ym,orders,gmv,avg_order_value,gmv_mom_pct
2017-01,787,120098.27,152.60,NULL
2017-02,1718,244959.35,142.58,104.0
2017-03,2617,368341.32,140.75,50.4
2017-04,2377,353842.98,148.86,-3.9
2017-05,3640,503159.19,138.23,42.2
2017-06,3205,429916.61,134.14,-14.6
2017-07,3946,492287.30,124.76,14.5
2017-08,4272,568245.79,133.02,15.4
2017-09,4227,621415.91,147.01,9.4
2017-10,4547,660179.62,145.19,6.2
2017-11,7421,1003862.14,135.27,52.1
2017-12,5618,742183.79,132.11,-26.1
2018-01,7187,945456.29,131.55,27.4
2018-02,6624,837895.43,126.49,-11.4
2018-03,7168,981051.06,136.87,17.1
2018-04,6919,993592.98,143.60,1.3
2018-05,6833,992871.75,145.31,-0.1
2018-06,6145,863265.53,140.48,-13.1
2018-07,6233,878044.27,140.87,1.7
2018-08,6421,848860.10,132.20,-3.3
